taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1417235	Ceratophyllus fringillae (Walker, 1856)	1417235	Ceratophyllus fringillae (Walker, 1856)	53	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Ceratophyllus	1417115	Ceratophyllus fringillae	1417235	
1417866	Mesopsylla apscheronica Wagner & Argyropulo, 1934	1417866	Mesopsylla apscheronica Wagner & Argyropulo, 1934	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Leptopsyllidae	5326	Mesopsylla	1417846	Mesopsylla apscheronica	1417866	
1419394	Xenopsylla papuensis (Jordan, 1933)	1419394	Xenopsylla papuensis (Jordan, 1933)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Pulicidae	8853	Xenopsylla	1419358	Xenopsylla papuensis	1419394	
5051108	Neopsylla sondaica Jordan, 1931	5051108	Neopsylla sondaica Jordan, 1931	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Neopsylla	1418659	Neopsylla sondaica	5051108	
1416955	Eumolpianus wallowensis (Hubbard, 1950)	1416955	Eumolpianus wallowensis (Hubbard, 1950)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Eumolpianus	1416954	Eumolpianus wallowensis	1416955	
1417694	Paradoxopsyllus paraphaeopis Lewis, 1974	1417694	Paradoxopsyllus paraphaeopis Lewis, 1974	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Leptopsyllidae	5326	Paradoxopsyllus	1417693	Paradoxopsyllus paraphaeopis	1417694	
1417843	Acropsylla episema Rothschild, 1911	1417843	Acropsylla episema Rothschild, 1911	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Leptopsyllidae	5326	Acropsylla	1417841	Acropsylla episema	1417843	
1419016	Adoratopsylla dilecta Jordan, 1938	1419016	Adoratopsylla dilecta Jordan, 1938	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Adoratopsylla	1419000	Adoratopsylla dilecta	1419016	
6193996	Odontopsyllus quirosi episcopalis Beaucournu & Gilot, 1975	6193996	Odontopsyllus quirosi episcopalis Beaucournu & Gilot, 1975	59	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Leptopsyllidae	5326	Odontopsyllus	1417867	Odontopsyllus quirosi	1417872	
6194326	Myoxopsylla laverani traubi Lewis, 1966	6194326	Myoxopsylla laverani traubi Lewis, 1966	2	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Myoxopsylla	1416884	Myoxopsylla laverani	1416887	
1416730	Baculomeris schmidti (Traub, 1950)	1416730	Baculomeris schmidti (Traub, 1950)	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Baculomeris	1416728	Baculomeris schmidti	1416730	
1417209	Ceratophyllus scopulorum Holland, 1952	1417209	Ceratophyllus scopulorum Holland, 1952	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Ceratophyllus	1417115	Ceratophyllus scopulorum	1417209	
1417211	Ceratophyllus caliotes Jordan, 1937	1417211	Ceratophyllus caliotes Jordan, 1937	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Ceratophyllus	1417115	Ceratophyllus caliotes	1417211	
1419468	Ctenocephalides canis (Curtis, 1826)	1419468	Ctenocephalides canis (Curtis, 1826)	1401	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Pulicidae	8853	Ctenocephalides	1419466	Ctenocephalides canis	1419468	
1419567	Procaviopsylla creusae (Rothschild, 1904)	1419567	Procaviopsylla creusae (Rothschild, 1904)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Pulicidae	8853	Procaviopsylla	1419564	Procaviopsylla creusae	1419567	
4480837	Ceratophyllus rectangulatus Wahlgren, 1903	1416990	Megabothris rectangulatus (Wahlgren, 1903)	2	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Megabothris	1416967	Megabothris rectangulatus	1416990	
5051020	Ctenophthalmus agyrtes peusianus Rosicky, 1955	5051020	Ctenophthalmus agyrtes peusianus Rosicky, 1955	35	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Ctenophthalmus	1418195	Ctenophthalmus agyrtes	5050990	
6194310	Orchopeas sexdentatus pennsylvanicus (Jordan, 1928)	6194310	Orchopeas sexdentatus pennsylvanicus (Jordan, 1928)	1	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Orchopeas	1417004	Orchopeas sexdentatus	1417014	
10815776	BOLD:ADX8690	10815776	BOLD:ADX8690	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Amphalius	1417055	Amphalius runatus	1417067	
1417507	Lagaropsylla setzeri Segerman, 1970	1417506	Lagaropsylla idae Smit, 1957	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ischnopsyllidae	5324	Lagaropsylla	1417505	Lagaropsylla idae	1417506	
5050833	Ctenophthalmus nifetodes dzukici Brelich, 1986	5050833	Ctenophthalmus nifetodes dzukici Brelich, 1986	29	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Ctenophthalmus	1418195	Ctenophthalmus nifetodes	5050831	
6193893	Polygenis bohlsi bohlsi	6193893	Polygenis bohlsi bohlsi	5	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Rhopalopsyllidae	8854	Polygenis	1416402	Polygenis bohlsi	1416424	
