"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"NMNH570",NA,NA,NA,NA,NA,NA,NA,NA,"Jellisonia klotsi Traub, 1944",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Jellisonia",NA,"klotsi",NA,NA,NA,"Traub, 1944",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH571",NA,NA,NA,NA,NA,NA,NA,NA,"Opisodasys (Sciuropsylla) robustus robustus (Jordan, 1925)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Opisodasys","Sciuropsylla","robustus","robustus",NA,NA,"Jordan, 1925",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH572",NA,NA,NA,NA,NA,NA,NA,NA,"Pleochaetis exilis (Jordan, 1937)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Pleochaetis",NA,"exilis",NA,NA,NA,"Jordan, 1937",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH573",NA,NA,NA,NA,NA,NA,NA,NA,"Plusaetis asetus (Traub, 1950)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Plusaetis",NA,"asetus",NA,NA,NA,"Traub, 1950",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH574",NA,NA,NA,NA,NA,NA,NA,NA,"Oropsylla (Opisocrostis) hirsutus (Baker, 1895)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Oropsylla","Opisocrostis","hirsutus",NA,NA,NA,"Baker, 1895",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH575",NA,NA,NA,NA,NA,NA,NA,NA,"Sternopsylla distinca texana (Fox, 1914)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ischnopsyllidae","Sternopsylla",NA,"distinca","texana",NA,NA,"Fox, 1914",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH576",NA,NA,NA,NA,NA,NA,NA,NA,"Dactylopsylla megasoma Barrera, 1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Dactylopsylla",NA,"megasoma",NA,NA,NA,"Barrera, 1953",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH577",NA,NA,NA,NA,NA,NA,NA,NA,"Jellisonia grayi Hubbard, 1958",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Jellisonia",NA,"grayi",NA,NA,NA,"Hubbard, 1958",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH578",NA,NA,NA,NA,NA,NA,NA,NA,"Jellisonia ironsi (Eads, 1947)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Jellisonia",NA,"ironsi",NA,NA,NA,"Eads, 1947",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH579",NA,NA,NA,NA,NA,NA,NA,NA,"Opisodasys (Sciuropsylla) robustus mexicanus Dampf, 1942",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Opisodasys","Sciuropsylla","robustus","mexicanus",NA,NA,"Dampf, 1942",NA,NA,NA,NA,NA,NA,NA,NA
