"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"CoL138100","138100",NA,138060,NA,NA,NA,NA,NA,"Aptilopsylla carlsbadensis (Ewing, 1940)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aptilopsylla",NA,"carlsbadensis",NA,"SPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA
"CoLx8E","x8E",NA,NA,"x48",NA,NA,NA,NA,"Coorilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENUS",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoL138150","138150",NA,NA,"x8E",NA,NA,NA,NA,"Coorilla similis Mardon & Allison, 1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coorilla",NA,"similis",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL138130","138130",NA,NA,"x8E",NA,NA,NA,NA,"Coorilla allisoni Mardon, 1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coorilla",NA,"allisoni",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL138140","138140",NA,NA,"x8E",NA,NA,NA,NA,"Coorilla longictena Dunnet & Mardon, 1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coorilla",NA,"longictena",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoLx8C","x8C",NA,NA,"x48",NA,NA,NA,NA,"Porribius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENUS",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoL138180","138180",NA,NA,"x8C",NA,NA,NA,NA,"Porribius caminae (Rothschild, 1903)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Porribius",NA,"caminae",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL138200","138200",NA,138180,NA,NA,NA,NA,NA,"Porribius reductus (Rothschild, 1903)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Porribius",NA,"reductus",NA,"SPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA
"CoL138190","138190",NA,138180,NA,NA,NA,NA,NA,"Porribius earinus (Rothschild, 1936)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Porribius",NA,"earinus",NA,"SPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA
"CoL138170","138170",NA,NA,"x8C",NA,NA,NA,NA,"Porribius bathyllus (M.Rothschild, 1936)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Porribius",NA,"bathyllus",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL138210","138210",NA,NA,"x8C",NA,NA,NA,NA,"Porribius pacificus Jordan, 1946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Porribius",NA,"pacificus",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL138220","138220",NA,NA,"x8C",NA,NA,NA,NA,"Porribius papuanus Holland, 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Porribius",NA,"papuanus",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoLx8A","x8A",NA,NA,"x48",NA,NA,NA,NA,"Serendipsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENUS",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoL138240","138240",NA,NA,"x8A",NA,NA,NA,NA,"Serendipsylla marshalli Smit, 1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Serendipsylla",NA,"marshalli",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoLx88","x88",NA,NA,"x48",NA,NA,NA,NA,"Thaumapsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENUS",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoL138300","138300",NA,NA,"x88",NA,NA,NA,NA,"Thaumapsylla dina Jordan, 1937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thaumapsylla",NA,"dina",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL138270","138270",NA,NA,"x88",NA,NA,NA,NA,"Thaumapsylla breviceps Rothschild, 1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thaumapsylla",NA,"breviceps",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL138290","138290",NA,NA,"138270",NA,NA,NA,NA,"Thaumapsylla breviceps orientalis Smit, 1954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thaumapsylla",NA,"breviceps","orientalis","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL138280","138280",NA,NA,"138270",NA,NA,NA,NA,"Thaumapsylla breviceps breviceps Rothschild, 1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thaumapsylla",NA,"breviceps","breviceps","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL138310","138310",NA,NA,"x88",NA,NA,NA,NA,"Thaumapsylla longiforceps Traub, 1951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thaumapsylla",NA,"longiforceps",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoLx74","x74",NA,NA,"x48",NA,NA,NA,NA,"Chiropteropsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENUS",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoL136160","136160",NA,NA,"x74",NA,NA,NA,NA,"Chiropteropsylla aegyptia (Rothschild, 1903)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chiropteropsylla",NA,"aegyptia",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL136170","136170",NA,NA,"x74",NA,NA,NA,NA,"Chiropteropsylla brockmani Rothschild, 1915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chiropteropsylla",NA,"brockmani",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL136190","136190",NA,NA,"136170",NA,NA,NA,NA,"Chiropteropsylla brockmani johnsoni Hubbard, 1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chiropteropsylla",NA,"brockmani","johnsoni","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL136180","136180",NA,NA,"136170",NA,NA,NA,NA,"Chiropteropsylla brockmani brockmani Rothschild, 1915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chiropteropsylla",NA,"brockmani","brockmani","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoLx7S","x7S",NA,NA,"x48",NA,NA,NA,NA,"Mitchella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENUS",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
