TPTID,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,infraorder,superfamily,subfamily
BYU1805,,,,,,,,,Rhadinopsylla li,,,,,,,,,,,Siphonaptera,Ctenophthalmidae,Rhadinopsylla,,li,,,,,,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Rhadinopsyllinae
BYU1862,,,,,,,,,"Cratynius lui Gong & Lei, 1988",,,,,,1988,,,,,Siphonaptera,Leptopsyllidae,Cratynius,,lui,,,,"Gong & Lei, 1988",,,,,,Ceratophyllomorpha,Ceratophylloidea,Leptopsyllinae
BYU1863,,,,,,,,,"Ctenophthalmus lui Hsieh & Jameson, 1971",,,,,,1971,,,,,Siphonaptera,Ctenophthalmidae,Ctenophthalmus,,lui,,,,"Hsieh & Jameson, 1971",,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalminae
BYU1864,,,,,,,,,"Syngenopsyllus lui Li, 1995",,,,,,1995,,,,,Siphonaptera,Ceratophyllidae,Syngenopsyllus,,lui,,,,"Li, 1995",,,,,,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllinae
BYU1893,,,,,,,,,"Palaeopsylla mai Liu & Chen, 2006",,,,,,2006,,,,,Siphonaptera,Ctenophthalmidae,Palaeopsylla,,mai,,,,"Liu & Chen, 2006",,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalminae
BYU2371,,,,,,,,,"Ctenidiosomus rex Johnson, 1957",,,,,,1957,,,,,Siphonaptera,Stivaliidae,Ctenidiosomus,,rex,,,,"Johnson, 1957",,,,,,Pygiopsyllomorpha,Pygiopsylloidea,
BYU2864,,,,,,,,,"Ceratophyllus wui Wang & Liu, 1996",,,,,,1996,,,,,Siphonaptera,Ceratophyllidae,Ceratophyllus,,wui,,,,"Wang & Liu, 1996",,,,,,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllinae
BYU2865,,,,,,,,,"Stenischia wui Xie & Lin, 1989",,,,,,1989,,,,,Siphonaptera,Ctenophthalmidae,Stenischia,,wui,,,,"Xie & Lin, 1989",,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Rhadinopsyllinae
BYU2868,,,,,,,,,"Ctenophthalmus xei Gong & Duan, 1992",,,,,,1992,,,,,Siphonaptera,Ctenophthalmidae,Ctenophthalmus,,xei,,,,"Gong & Duan, 1992",,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalminae
BYU2875,,,,,,,,,"Callopsylla xui Wu, Guo & Liu, 1996",,,,,,1996,,,,,Siphonaptera,Ceratophyllidae,Callopsylla,,xui,,,,"Wu, Guo & Liu, 1996",,,,,,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllinae
BYU2880,,,,,,,,,"Callopsylla yui ye & Jiang, 1990",,,,,,1990,,,,,Siphonaptera,Ceratophyllidae,Callopsylla,,yui,,,,"ye & Jiang, 1990",,,,,,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllinae
BYU2893,,,,,,,,,"Hystrichopsylla zii Gong, 1992",,,,,,1992,,,,,Siphonaptera,Hystrichopsyllidae,Hystrichopsylla,,zii,,,,"Gong, 1992",,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Hystrichopsyllinae
BYUSYN168,,,,,,,,,"Ischnopsyllus wui Hsü, 1935","Nycteridopsylla galba Dampf, 1910",,,,,,,,,,,,Ischnopsyllus,,wui,,,,"Hsü, 1935",,,,,,,,
BYU263,,,,,,,,,"Frontopsylla frontalis gud Argyropulo, 1935",,,,,,1935,,,,,Siphonaptera,Leptopsyllidae,Frontopsylla,,frontalis,gud,,,"Argyropulo, 1935",,,,,,Ceratophyllomorpha,Ceratophylloidea,Amphipsyllinae
BYUSYN228,,,,,,,,,"Rhadinopsylla acuminata Ioff & Tiflov, 1946","Rhadinopsylla li transbaikalica Ioff & Tiflov, 1947",,,,,,,,,,,,Rhadinopsylla,,acuminata,,,,"Ioff & Tiflov, 1946",,,,,suppressed by ICZN,,,
BYUSYN381,,,,,,,,,"Monopsyllus indages lis Ono, 1958","Monopsyllus indages Rothschild, 1908",,,,,,,,,,,,Monopsyllus,,indages,lis,,,"Ono, 1958",,,,,,,,
