"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"BYU1261",NA,NA,NA,NA,NA,NA,NA,NA,"Meringis disparalis Eads, 1979",NA,NA,NA,NA,NA,1979,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Meringis",NA,"disparalis",NA,NA,NA,"Eads, 1979",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Neopsyllinae"
"BYU1262",NA,NA,NA,NA,NA,NA,NA,NA,"Amalaraeus dissimilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Amalaraeus",NA,"dissimilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae"
"BYU1263",NA,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla dissimilis Peus, 1968",NA,NA,NA,NA,NA,1968,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Palaeopsylla",NA,"dissimilis",NA,NA,NA,"Peus, 1968",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae"
"BYU1264",NA,NA,NA,NA,NA,NA,NA,NA,"Sternopsylla distincta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ischnopsyllidae","Sternopsylla",NA,"distincta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ischnopsyllinae"
"BYU1265",NA,NA,NA,NA,NA,NA,NA,NA,"Rectidigitus dittmarae Hastriter, 2016",NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,"Siphonaptera","Stivaliidae","Rectidigitus",NA,"dittmarae",NA,NA,NA,"Hastriter, 2016",NA,NA,NA,NA,NA,"Pygiopsyllomorpha","Pygiopsylloidea",NA
"BYU1266",NA,NA,NA,NA,NA,NA,NA,NA,"Procaviopsylla divergens (Jordan & Rothschild 1908)",NA,NA,NA,NA,NA,1908,NA,NA,NA,NA,"Siphonaptera","Pulicidae","Procaviopsylla",NA,"divergens",NA,NA,NA,"(Jordan & Rothschild 1908)",NA,NA,NA,NA,NA,"Pulicomorpha","Pulicoidea  ","Spilopsyllinae"
"BYU1267",NA,NA,NA,NA,NA,NA,NA,NA,"Paradoxopsyllus diversus Liu, Chen & Liu, 1986",NA,NA,NA,NA,NA,1986,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Paradoxopsyllus",NA,"diversus",NA,NA,NA,"Liu, Chen & Liu, 1986",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Amphipsyllinae"
"BYU1268",NA,NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla dives Jordan, 1929",NA,NA,NA,NA,NA,1929,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Rhadinopsylla",NA,"dives",NA,NA,NA,"Jordan, 1929",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Rhadinopsyllinae"
"BYU1269",NA,NA,NA,NA,NA,NA,NA,NA,"Megarthroglossus divisus (Baker 1898)",NA,NA,NA,NA,NA,1898,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Megarthroglossus",NA,"divisus",NA,NA,NA,"(Baker 1898)",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Anomiopsyllinae"
"BYU1270",NA,NA,NA,NA,NA,NA,NA,NA,"Dinopsyllus djaensis Beaucournu & Colyn, 1998",NA,NA,NA,NA,NA,1998,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Dinopsyllus",NA,"djaensis",NA,NA,NA,"Beaucournu & Colyn, 1998",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Dinopsyllinae"
"BYU1271",NA,NA,NA,NA,NA,NA,NA,NA,"Amalaraeus dobbsi (Hubbard 1940)",NA,NA,NA,NA,NA,1940,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Amalaraeus",NA,"dobbsi",NA,NA,NA,"(Hubbard 1940)",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae"
