Catalog Number,Barcode,Catalog,Class,Order,Family,Scientific Name,Type Status,Type Citation,Other Identifications,Sex and Stage,Preparation,Bioregion,Distribution,Country,Province/State,District/County,Precise Locality,Elevation (m),Centroid Latitude,Centroid Longitude,Field Number,Collector(s),Collecting Date,Specimen Count,Record Status,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Nosopsyllus (Nosopsyllus) philippovi rashtii Farhang-Azad, 1970",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:53,http://n2t.net/ark:/65665/35a4a0c21-7547-48af-a0fc-6a9c484b48c9
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Nosopsyllus (Nosopsyllus) punjabensis (Jordan & Rothschild, 1921)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:53,http://n2t.net/ark:/65665/311421caf-193e-4f99-8f33-636d49e2ca30
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Nosopsyllus (Nosopsyllus) simla (Jordan & Rothschild, 1921)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:53,http://n2t.net/ark:/65665/394cf35d3-3b0f-4b21-85c9-1efc0f4a274e
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,Nosopsyllus (Nosopsyllus) wualis,,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:53,http://n2t.net/ark:/65665/3450d9e5b-77f5-4f4c-b7c6-43c9454059ed
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Orchopeas howardi bolivari Barrera, 1955",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:54,http://n2t.net/ark:/65665/34dbe33c7-3831-4d7a-a228-0afbd92ffa9d
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Paraceras javanicum (Ewing, 1924)",,,,,Slide,,,,,,,,,,,,,3,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:56,http://n2t.net/ark:/65665/31403aa67-0893-4f51-88a9-53542bbb074c
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Paraceras melis melis (Walker, 1856)",,,,,Slide,,,,,,,,,,,,,3,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:56,http://n2t.net/ark:/65665/31c164ebe-2cb2-42e0-aef6-2132e07b8560
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Paraceras sauteri (Rothschild, 1914)",,,,,Slide,,,,,,,,,,,,,3,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:56,http://n2t.net/ark:/65665/312f2140b-6563-42dc-9d65-95c9f734d3a0
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Pleochaetis mathesoni (Traub, 1950)",,,,,Slide,,,,,,,,,,,,,107,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:56,http://n2t.net/ark:/65665/38665bf35-6064-4d48-9c38-9349efb381ac
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Pleochaetis mundus (Jordan & Rothschild, 1922)",,,,,Slide,,,,,,,,,,,,,5,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:56,http://n2t.net/ark:/65665/30a53548b-4abc-4c46-ad22-6a2039b0c8d4
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Pleochaetis paramundus Traub, 1950",,,,,Slide,,,,,,,,,,,,,3,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:56,http://n2t.net/ark:/65665/39e48fa20-57c5-4979-9fe5-24c10a9aba20
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Plusaetis apollinaris (Jordan & Rothschild, 1921)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:56,http://n2t.net/ark:/65665/3e3e7e343-c75f-47e7-b1ce-bfb98bd2dbd4
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Plusaetis aztecus (Barrera, 1954)",,,,,Slide,,,,,,,,,,,,,2645,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:56,http://n2t.net/ark:/65665/3210f7c5e-32ec-4fa5-b1bb-4ff1fde0dff3
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Plusaetis dolens dolens (Jordan & Rothschild, 1914)",,,,,Slide,,,,,,,,,,,,,24,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:56,http://n2t.net/ark:/65665/3e18acf54-90f6-497f-bfe7-20265b5fa9c6
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Plusaetis dolens quitanus (Jordan, 1931)",,,,,Slide,,,,,,,,,,,,,170,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:56,http://n2t.net/ark:/65665/3cc188095-eaf8-4f76-a479-9486c7d44372
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,Plusaetis dolens,,,,,Slide,,,,,,,,,,,,,9,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:56,http://n2t.net/ark:/65665/376906a6c-950c-4ce9-a13f-912f35c489c1
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Macrostylophora (Macrostylophora) fimbriata (Jordan & Rothschild, 1921)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:51,http://n2t.net/ark:/65665/3439de9c8-8636-4c2e-ba75-cc55b7ac975a
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Macrostylophora hastata malayensis Traub, 1950",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:51,http://n2t.net/ark:/65665/33b11a5fb-43ec-477f-ab2f-160c9d2d7835
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Megabothris (Megabothris) asio asio (Baker, 1904)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:52,http://n2t.net/ark:/65665/39df90908-332a-4e82-a120-8d2d9e97a30a
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Megabothris (Megabothris) calcarifer (Wagner, 1913)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:52,http://n2t.net/ark:/65665/344f815ad-6062-413a-9272-7429d90e1442
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Megabothris (Megabothris) walker (Rothschild, 1902)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:52,http://n2t.net/ark:/65665/31cbcea65-284c-4f6f-b9df-392d7d9c4f34
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,Megabothris unidentified,,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:52,http://n2t.net/ark:/65665/3d29778bb-8a17-462f-a164-f1d9d84c1684
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Mioctenopsylla arctica hadweni (Ewing, 1927)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:52,http://n2t.net/ark:/65665/3f4cd46da-ddd0-4fe2-9a18-0b2f215a0c75
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Mioctenopsylla traubi traubi Holland & Jellison, 1952",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:52,http://n2t.net/ark:/65665/35ba7e3ed-4ff2-4b8a-895e-5ba0e1d3cb83
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,Mioctenopsylla unidentified,,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:52,http://n2t.net/ark:/65665/373788285-f649-4558-83da-1a69e49dacef
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Nosopsyllus (Gerbillophilus) afghanus Peus, 1957",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:53,http://n2t.net/ark:/65665/36e12356f-44c4-4443-a71d-8b73c8680086
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Nosopsyllus (Gerbillophilus) iranus theodori Smit, 1960",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:53,http://n2t.net/ark:/65665/32f23753e-f9c7-459b-826f-ba87db074e8d
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,Nosopsyllus (Nosopsyllus) unidentified,,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:53,http://n2t.net/ark:/65665/303d16d2d-2457-4367-a399-e866fc9921db
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Rostropsylla daca (Jordan & Rothschild, 1911)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:57,http://n2t.net/ark:/65665/32b979c33-08cc-4e9b-81d2-fdb890bb044d
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Tarsopsylla octodecimdentata octodecimdentata (Kolenati, 1863)",,,,,Slide,,,,,,,,,,,,,3,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:57,http://n2t.net/ark:/65665/31d23530a-b524-47f5-91d1-9a1e6f41a374
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Thrassis aridis aridis Prince, 1944",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:57,http://n2t.net/ark:/65665/31505b5ef-fec5-40b7-b6a9-16c8a4a220b8
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Thrassis aridis hoffmani (Hubbard, 1949)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:58,http://n2t.net/ark:/65665/3a2e6d275-61cf-4cdf-af23-02f765a6b342
