class,order,family,type.status,distribution,record.status,number,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,canonical
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",45,Paraceras,NA,javanicum,NA,"Ewing, 1924,",Paraceras javanicum
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",46,Paraceras,NA,melis,melis,"Walker, 1856,",Paraceras melis melis
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",47,Paraceras,NA,sauteri,NA,"Rothschild, 1914,",Paraceras sauteri
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",48,Pleochaetis,NA,mathesoni,NA,"Traub, 1950,",Pleochaetis mathesoni
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",49,Pleochaetis,NA,mundus,NA,"Jordan & Rothschild, 1922,",Pleochaetis mundus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",50,Pleochaetis,NA,paramundus,NA,"Traub, 1950,",Pleochaetis paramundus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",51,Plusaetis,NA,apollinaris,NA,"Jordan & Rothschild, 1921,",Plusaetis apollinaris
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",52,Plusaetis,NA,aztecus,NA,"Barrera, 1954,",Plusaetis aztecus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",53,Plusaetis,NA,dolens,dolens,"Jordan & Rothschild, 1914,",Plusaetis dolens dolens
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",54,Plusaetis,NA,dolens,quitanus,"Jordan, 1931,",Plusaetis dolens quitanus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",55,Plusaetis,NA,dolens,NA,",",Plusaetis dolens
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",56,Macrostylophora,(Macrostylophora),fimbriata,NA,"Jordan & Rothschild, 1921,",Macrostylophora fimbriata
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",57,Macrostylophora,NA,hastata,malayensis,"Traub, 1950,",Macrostylophora hastata malayensis
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",58,Megabothris,(Megabothris),asio,asio,"Baker, 1904,",Megabothris asio asio
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",59,Megabothris,(Megabothris),calcarifer,NA,"Wagner, 1913,",Megabothris calcarifer
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",60,Megabothris,(Megabothris),walker,NA,"Rothschild, 1902,",Megabothris walker
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",62,Mioctenopsylla,NA,arctica,hadweni,"Ewing, 1927,",Mioctenopsylla arctica hadweni
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",63,Mioctenopsylla,NA,traubi,traubi,"Holland & Jellison, 1952,",Mioctenopsylla traubi traubi
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",65,Nosopsyllus,(Gerbillophilus),afghanus,NA,"Peus, 1957,",Nosopsyllus afghanus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",66,Nosopsyllus,(Gerbillophilus),iranus,theodori,"Smit, 1960,",Nosopsyllus iranus theodori
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",68,Rostropsylla,NA,daca,NA,"Jordan & Rothschild, 1911,",Rostropsylla daca
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",69,Tarsopsylla,NA,octodecimdentata,octodecimdentata,"Kolenati, 1863,",Tarsopsylla octodecimdentata octodecimdentata
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",70,Thrassis,NA,aridis,aridis,"Prince, 1944,",Thrassis aridis aridis
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",71,Thrassis,NA,aridis,hoffmani,"Hubbard, 1949,",Thrassis aridis hoffmani
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",72,Thrassis,NA,francisi,rockwoodi,"Hubbard, 1942,",Thrassis francisi rockwoodi
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",73,Thrassis,NA,francisi,sierrae,"Stark, 1970,",Thrassis francisi sierrae
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",74,Thrassis,NA,pandorae,jellisoni,"Hubbard, 1940,",Thrassis pandorae jellisoni
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",75,Thrassis,NA,spenceri,alpinus,"Stark, 1957,",Thrassis spenceri alpinus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",76,Thrassis,NA,spenceri,spenceri,"Wagner, 1936,",Thrassis spenceri spenceri
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",77,Araeopsylla,NA,scitula,NA,"Rothschild, 1909,",Araeopsylla scitula
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",79,Ischnopsyllus,(Ischnopsyllus),octatenus,NA,"Kolenati, 1856,",Ischnopsyllus octatenus
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",80,Lagaropsylla,NA,incerta,NA,"Rothschild, 1900,",Lagaropsylla incerta
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",81,Myodopsylla,NA,wolffsohni,salvasis,"Jordan, 1931,",Myodopsylla wolffsohni salvasis
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",82,Nycteridopsylla,NA,eusarea,NA,"Dampf, 1908,",Nycteridopsylla eusarea
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",83,Rhinolophopsylla,NA,capensis,NA,"Jordan & Rothschild, 1921,",Rhinolophopsylla capensis
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",84,Rhinolophopsylla,NA,unipectinata,arabs,"Jordan & Rothschild, 1921,",Rhinolophopsylla unipectinata arabs
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",85,Rhinolophopsylla,NA,unipectinata,unipectinata,"Taschenberg, 1880,",Rhinolophopsylla unipectinata unipectinata
Insecta,Siphonaptera,Leptopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",86,Acropsylla,NA,episema,episema,"Rothschild, 1911,",Acropsylla episema episema
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (British Columbia, Yukon); United States (Alberta, Arizona, California, Colorado, Idaho, Michigan, Montana, Nebraska, Nevada, New Mexico, North Dakota, Oregon, South Dakota, Utah, Wisconsin, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",87,Eumolpianus,NA,eumolpi,eumolpi,"Rothschild, 1905,",Eumolpianus eumolpi eumolpi
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",88,Macrostylophora,NA,probata,NA,"Jordan & Rothschild, 1922,",Macrostylophora probata
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",89,Megabothris,(Megabothris),asio,megacolpus,"Jordan, 1929,",Megabothris asio megacolpus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",90,Nosopsyllus,(Gerbillophilus),laeviceps,NA,",",Nosopsyllus laeviceps
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",92,Opisodasys,(Sciuropsylla),hollandi,NA,"Traub, 1947,",Opisodasys hollandi
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",93,Oropsylla,(Oropsylla),ilovaiskii,NA,"Wagner & Ioff, 1926,",Oropsylla ilovaiskii
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",94,Oropsylla,(Oropsylla),silantiewi,NA,"Wagner, 1898,",Oropsylla silantiewi
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",95,Paraceras,NA,melis,flabellum,"Wagner, 1916,",Paraceras melis flabellum
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",96,Plusaetis,NA,equatoris,NA,"Jordan, 1933,",Plusaetis equatoris
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",97,Plusaetis,NA,parus,NA,"Traub, 1950,",Plusaetis parus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",98,Plusaetis,NA,ponsi,NA,"Barrera, 1955,",Plusaetis ponsi
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",99,Plusaetis,NA,sibynus,jordani,"Barrera, 1955,",Plusaetis sibynus jordani
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",100,Plusaetis,NA,sibynus,NA,",",Plusaetis sibynus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",101,Plusaetis,NA,smiti,NA,"Johnson, 1954,",Plusaetis smiti
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",102,Plusaetis,NA,soberoni,NA,"Barrera, 1958,",Plusaetis soberoni
Insecta,Siphonaptera,Leptopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",103,Paradoxopsyllus,NA,repandus,NA,"Rothschild, 1913,",Paradoxopsyllus repandus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",104,Thrassis,NA,aridis,arcuatus,"Stark, 1957,",Thrassis aridis arcuatus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",105,Thrassis,NA,arizonensis,NA,"Baker, 1898,",Thrassis arizonensis
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",106,Thrassis,NA,augustoni,NA,"Hubbard, 1949,",Thrassis augustoni
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",107,Thrassis,NA,bacchi,bacchi,"Rothschild, 1905,",Thrassis bacchi bacchi
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",108,Thrassis,NA,bacchi,consimilus,"Stark, 1957,",Thrassis bacchi consimilus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",109,Thrassis,NA,bacchi,gladiolus,"Jordan, 1925,",Thrassis bacchi gladiolus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",110,Thrassis,NA,bacchi,setosis,"Prince, 1944,",Thrassis bacchi setosis
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",111,Thrassis,NA,francisi,francisi,"Fox, 1927,",Thrassis francisi francisi
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",112,Chiropteropsylla,NA,aegyptia,NA,"Rothschild, 1903,",Chiropteropsylla aegyptia
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",115,Ischnopsyllus,(Hexactenopsylla),hexactenus,NA,"Kolenati, 1856,",Ischnopsyllus hexactenus
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",116,Ischnopsyllus,(Ischnopsyllus),consimilis,NA,"Wahlgren, 1904,",Ischnopsyllus consimilis
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",117,Ischnopsyllus,(Ischnopsyllus),elongatus,NA,"Curtis, 1832,",Ischnopsyllus elongatus
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",118,Lagaropsylla,NA,anciauxi,NA,"Smit, 1957,",Lagaropsylla anciauxi
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",119,Lagaropsylla,NA,consularis,NA,"Smit, 1957,",Lagaropsylla consularis
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",120,Lagaropsylla,NA,hoogstraali,NA,"Smit, 1957,",Lagaropsylla hoogstraali
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",121,Lagaropsylla,NA,idae,NA,"Smit, 1957,",Lagaropsylla idae
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",122,Lagaropsylla,NA,lipsi,NA,"Smit, 1957,",Lagaropsylla lipsi
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",123,Lagaropsylla,NA,malayana,NA,"Beaucournu & Kock, 1994,",Lagaropsylla malayana
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",124,Lagaropsylla,NA,mera,NA,"Jordan & Rothschild, 1921,",Lagaropsylla mera
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",125,Lagaropsylla,NA,micula,NA,"Jordan & Rothschild, 1921,",Lagaropsylla micula
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",126,Lagaropsylla,NA,obliqua,NA,"Smit, 1957,",Lagaropsylla obliqua
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",128,Myodopsylla,NA,nordina,NA,"Traub & Hoff, 1951,",Myodopsylla nordina
Insecta,Siphonaptera,Ischnopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",129,Nycteridopsylla,NA,longiceps,NA,"Rothschild, 1908,",Nycteridopsylla longiceps
Insecta,Siphonaptera,Leptopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",130,Sigmactenus,NA,alticola,alticola,"Traub, 1954,",Sigmactenus alticola alticola
Insecta,Siphonaptera,Hystrichopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",131,Neopsylla,NA,sondaica,NA,"Jordan, 1931,",Neopsylla sondaica
Insecta,Siphonaptera,Hystrichopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",132,Palaeopsylla,NA,soricis,NA,",",Palaeopsylla soricis
Insecta,Siphonaptera,Hystrichopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",133,Anomiopsyllus,NA,durangoensis,NA,"Holland, 1965,",Anomiopsyllus durangoensis
Insecta,Siphonaptera,Hystrichopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",134,Ctenophthalmus,(Euctenophthalmus),congeneroides,truncus,"Ioff & Scalon, 1950,",Ctenophthalmus congeneroides truncus
Insecta,Siphonaptera,Hystrichopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",135,Ctenophthalmus,(Euctenophthalmus),iranus,iranus,"Argyropulo, 1935,",Ctenophthalmus iranus iranus
