"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"GBIF1417691",1417691,NA,1417691,NA,NA,NA,NA,NA,"Cratynius crypticus Hopkins & Traub, 1955","Cratynius crypticus Hopkins & Traub, 1955",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Cratynius",NA,"crypticus",NA,"SPECIES",NA,"Hopkins & Traub, 1955",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF5050800",5050800,NA,5050800,NA,NA,NA,NA,NA,"Ctenophthalmus dolomydis Smit, 1957","Ctenophthalmus dolomydis Smit, 1957",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus",NA,"dolomydis",NA,"SPECIES",NA,"Smit, 1957",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF5050827",5050827,NA,5050827,NA,NA,NA,NA,NA,"Ctenophthalmus andorrensis catalaniensis Beaucournu, 1973","Ctenophthalmus andorrensis catalaniensis Beaucournu, 1973",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus",NA,"andorrensis","catalaniensis","SUBSPECIES",NA,"Beaucournu, 1973",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF5051034",5051034,NA,5051034,NA,NA,NA,NA,NA,"Neopsylla marleaneae Lewis, 1971","Neopsylla marleaneae Lewis, 1971",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Neopsylla",NA,"marleaneae",NA,"SPECIES",NA,"Lewis, 1971",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF6194128",6194128,NA,6194128,NA,NA,NA,NA,NA,"Megabothris clantoni johnsoni Hubbard, 1949","Megabothris clantoni johnsoni Hubbard, 1949",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Megabothris",NA,"clantoni","johnsoni","SUBSPECIES",NA,"Hubbard, 1949",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF9857691",9857691,NA,9857691,NA,NA,NA,NA,NA,"BOLD:AAY6129","BOLD:AAY6129",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,"UNRANKED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBIF10760636",10760636,NA,10760636,NA,NA,NA,NA,NA,"BOLD:ADV9870","BOLD:ADV9870",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,NA,NA,NA,"UNRANKED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1416222",1416222,NA,1416222,NA,NA,NA,NA,NA,"Chaetopsylla matina (Jordan, 1925)","Chaetopsylla matina (Jordan, 1925)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Vermipsyllidae","Chaetopsylla",NA,"matina",NA,"SPECIES",NA,"Jordan, 1925",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1416593",1416593,NA,1416592,NA,NA,NA,NA,NA,"Opisodasys spatiosis Fox, 1940","Opisodasys robustus (Jordan, 1925)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Opisodasys",NA,"spatiosis",NA,"SPECIES",NA,"Fox, 1940",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1416865",1416865,NA,1416865,NA,NA,NA,NA,NA,"Oropsylla tuberculata (Baker, 1904)","Oropsylla tuberculata (Baker, 1904)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla",NA,"tuberculata",NA,"SPECIES",NA,"Baker, 1904",NA,NA,NA,NA,NA,NA,NA,NA
