TPTID,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,infraorder,superfamily,subfamily,canonical
CoLx36,x36,,,xS,,,,,Caenopsylla,,,,,,,,,,,,,Caenopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Caenopsylla
CoLxY,xY,,,xS,,,,,Frontopsylla,,,,,,,,,,,,,Frontopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Frontopsylla
CoLxGU,xGU,,,x5G,,,,,Aetheca,,,,,,,,,,,,,Aetheca,,,,GENUS,,,,,ACCEPTED,,,,,,Aetheca
CoLxW,xW,,,xS,,,,,Geusibia,,,,,,,,,,,,,Geusibia,,,,GENUS,,,,,ACCEPTED,,,,,,Geusibia
CoLxU,xU,,,xS,,,,,Acropsylla,,,,,,,,,,,,,Acropsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Acropsylla
CoLx46,x46,,,xS,,,,,Peromyscopsylla,,,,,,,,,,,,,Peromyscopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Peromyscopsylla
CoLx3Y,x3Y,,,xS,,,,,Desertopsylla,,,,,,,,,,,,,Desertopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Desertopsylla
CoLx42,x42,,,xS,,,,,Sigmactenus,,,,,,,,,,,,,Sigmactenus,,,,GENUS,,,,,ACCEPTED,,,,,,Sigmactenus
CoLx44,x44,,,xS,,,,,Tsaractenus,,,,,,,,,,,,,Tsaractenus,,,,GENUS,,,,,ACCEPTED,,,,,,Tsaractenus
CoLxJJ,xJJ,,,x5G,,,,,Opisodasys,,,,,,,,,,,,,Opisodasys,,,,GENUS,,,,,ACCEPTED,,,,,,Opisodasys
CoLxJN,xJN,,,x5G,,,,,Pleochaetis,,,,,,,,,,,,,Pleochaetis,,,,GENUS,,,,,ACCEPTED,,,,,,Pleochaetis
CoLxJL,xJL,,,x5G,,,,,Paramonopsyllus,,,,,,,,,,,,,Paramonopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Paramonopsyllus
CoLxJQ,xJQ,,,x5G,,,,,Plusaetis,,,,,,,,,,,,,Plusaetis,,,,GENUS,,,,,ACCEPTED,,,,,,Plusaetis
CoLxJS,xJS,,,x5G,,,,,Rowleyella,,,,,,,,,,,,,Rowleyella,,,,GENUS,,,,,ACCEPTED,,,,,,Rowleyella
CoLxJU,xJU,,,x5G,,,,,Rostropsylla,,,,,,,,,,,,,Rostropsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Rostropsylla
