"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"BYUSYN84",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus cinereae Dale, 1878","Dasypsyllus gallinulae gallinulae (Dale 1878)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"cinereae",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN86",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus citrinellae Dale, 1878","Dasypsyllus gallinulae gallinulae (Dale 1878)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"citrinellae",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN85",NA,NA,NA,NA,NA,NA,NA,NA,"Pulex furoris Dale, 1878","Nosopsyllus fasciatus (Bosc 1800)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex",NA,"furoris",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN88",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus garruli Dale, 1878","Dasypsyllus gallinulae gallinulae (Dale 1878)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"garruli",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN82",NA,NA,NA,NA,NA,NA,NA,NA,"Pulex gliris Dale, 1878","Archaeopsylla erinacei erinacei (Bouché 1835)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex",NA,"gliris",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN90",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus merulae Dale, 1878","Dasypsyllus gallinulae gallinulae (Dale 1878)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"merulae",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN92",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus monedulae Dale, 1878","Dasypsyllus gallinulae gallinulae (Dale 1878)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"monedulae",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN83",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus palumbi Dale, 1878","Monopsyllus sciurorum sciurorum (Schrank 1803)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"palumbi",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN87",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus pratensis Dale, 1878","Ceratophyllus gallinae (Schrank 1803)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"pratensis",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN93",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus pyrrhulae Dale, 1878","Dasypsyllus gallinulae gallinulae (Dale 1878)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"pyrrhulae",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN80",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus sorecis Dale, 1878","Palaeopsylla soricis soricis (Dale 1878)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"sorecis",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN89",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus spini Dale, 1878","Ceratophyllus gallinae (Schrank 1803)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"spini",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN94",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus trochili Dale, 1878","Dasypsyllus gallinulae gallinulae (Dale 1878)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"trochili",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN91",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus turdi Dale, 1878","Ceratophyllus gallinae (Schrank 1803)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"turdi",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN95",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus viscivora Dale, 1878","Dasypsyllus gallinulae gallinulae (Dale 1878)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"viscivora",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
