dwc:taxonID	dwc:parentNameUsageID	dwc:acceptedNameUsageID	dwc:originalNameUsageID	dwc:datasetID	dwc:taxonomicStatus	dwc:taxonRank	dwc:scientificName	gbif:genericName	dwc:specificEpithet	dwc:infraspecificEpithet	dwc:nameAccordingTo	dwc:namePublishedIn	dwc:nomenclaturalCode	dwc:nomenclaturalStatus	dwc:taxonRemarks	dcterms:references
101110	x5N				ACCEPTED	SPECIES	Echidnophaga tenerifensis Gil Collado, Rodrigues & Zapatero, 1982	Echidnophaga	tenerifensis				ICZN			
101120	x5N				ACCEPTED	SPECIES	Echidnophaga tiscadaea Smit, 1967	Echidnophaga	tiscadaea				ICZN			
101010	x5N				ACCEPTED	SPECIES	Echidnophaga murina (Tiraboschi, 1903)	Echidnophaga	murina				ICZN			
101030		101010			SYNONYM	SPECIES	Xestopsylla rhynchopsylla (Tiraboschi, 1904)	Xestopsylla	rhynchopsylla				ICZN			
101020		101010			SYNONYM	SPECIES	Xestopsylla italica (Tiraboschi, 1903)	Xestopsylla	italica				ICZN			
101040	x5N				ACCEPTED	SPECIES	Echidnophaga myrmecobii Rothschild, 1909	Echidnophaga	myrmecobii				ICZN			
101050	x5N				ACCEPTED	SPECIES	Echidnophaga ochotona Li Kuei-chen, 1957	Echidnophaga	ochotona				ICZN			
101060	x5N				ACCEPTED	SPECIES	Echidnophaga octotricha Mardon & Dunnet, 1971	Echidnophaga	octotricha				ICZN			
101080	x5N				ACCEPTED	SPECIES	Echidnophaga perilis Jordan, 1925	Echidnophaga	perilis				ICZN			
101070	x5N				ACCEPTED	SPECIES	Echidnophaga oschanini Wagner, 1930	Echidnophaga	oschanini				ICZN			
101090	x5N				ACCEPTED	SPECIES	Echidnophaga popovi Ioff & Argyropulo, 1934	Echidnophaga	popovi				ICZN			
101100	x5N				ACCEPTED	SPECIES	Echidnophaga tarda Jordan, 1925	Echidnophaga	tarda				ICZN			
100920	x5N				ACCEPTED	SPECIES	Echidnophaga cornuta Wagner, 1936	Echidnophaga	cornuta				ICZN			
100910	x5N				ACCEPTED	SPECIES	Echidnophaga calabyi Mardon & Dunnet, 1971	Echidnophaga	calabyi				ICZN			
100940	x5N				ACCEPTED	SPECIES	Echidnophaga gallinacea (Westwood, 1875)	Echidnophaga	gallinacea				ICZN			
100950		100940			SYNONYM	SPECIES	Xestopsylla pullulorum (Johnson, 1890)	Xestopsylla	pullulorum				ICZN			
100930	x5N				ACCEPTED	SPECIES	Echidnophaga eyrei Mardon & Dunnet, 1971	Echidnophaga	eyrei				ICZN			
100980	x5N				ACCEPTED	SPECIES	Echidnophaga larina Jordan & Rothschild, 1906	Echidnophaga	larina				ICZN			
100970	x5N				ACCEPTED	SPECIES	Echidnophaga iberica Ribeiro, Lucientes, Osacar & Calvete, 1994	Echidnophaga	iberica				ICZN			
101000	x5N				ACCEPTED	SPECIES	Echidnophaga macronychia Jordan & Rothschild, 1906	Echidnophaga	macronychia				ICZN			
100990	x5N				ACCEPTED	SPECIES	Echidnophaga liopus Jordan & Rothschild, 1906	Echidnophaga	liopus				ICZN			
100860	x5N				ACCEPTED	SPECIES	Echidnophaga ambulans Olliff, 1886	Echidnophaga	ambulans				ICZN			
100880	100860				ACCEPTED	INFRASPECIFIC_NAME	Echidnophaga ambulans inepta M.Rothschild, 1936	Echidnophaga	ambulans	inepta			ICZN			
100870	100860				ACCEPTED	INFRASPECIFIC_NAME	Echidnophaga ambulans ambulans Olliff, 1886	Echidnophaga	ambulans	ambulans			ICZN			
100850	x5N				ACCEPTED	SPECIES	Echidnophaga aethiops Jordan & Rothschild, 1906	Echidnophaga	aethiops				ICZN			
100900	x5N				ACCEPTED	SPECIES	Echidnophaga bradyta Jordan & Rothschild, 1906	Echidnophaga	bradyta				ICZN			
100890	x5N				ACCEPTED	SPECIES	Echidnophaga aranka M.Rothschild, 1936	Echidnophaga	aranka				ICZN			
139050	x5N				ACCEPTED	SPECIES	Echidnophaga suricatta Hastriter, 2000	Echidnophaga	suricatta				ICZN			
x66	xA				ACCEPTED	SUPERFAMILY	Vermipsylloidea									
x68	x66				ACCEPTED	FAMILY	Vermipsyllidae									
xAS	x68				ACCEPTED	GENUS	Vermipsylla									
106510	xAS				ACCEPTED	SPECIES	Vermipsylla yeae Yu Xin & Li Weidong, 1990	Vermipsylla	yeae				ICZN			
106500	xAS				ACCEPTED	SPECIES	Vermipsylla quilianensis Wu Wenching, Tsai Liyuen & Liu Chiying, 1980	Vermipsylla	quilianensis				ICZN			
106430	xAS				ACCEPTED	SPECIES	Vermipsylla minuta Liu Lienchu, Chang Wenfu & Chen Tehliang, 1974	Vermipsylla	minuta				ICZN			
106420	xAS				ACCEPTED	SPECIES	Vermipsylla ibexa Zhang Jintong & Yu Xin, 1981	Vermipsylla	ibexa				ICZN			
106470	xAS				ACCEPTED	SPECIES	Vermipsylla perplexa Smit, 1975	Vermipsylla	perplexa				ICZN			
106480	106470				ACCEPTED	INFRASPECIFIC_NAME	Vermipsylla perplexa perplexa Smit, 1975	Vermipsylla	perplexa	perplexa			ICZN			
106490	106470				ACCEPTED	INFRASPECIFIC_NAME	Vermipsylla perplexa centrolasia Liu Chiying, Wu Houyong & Wu1982 Foolin, 1982	Vermipsylla	perplexa	centrolasia			ICZN			
106440	xAS				ACCEPTED	SPECIES	Vermipsylla parallela Liu Chiying, Wu Houyong & Wu Foolin, 1965	Vermipsylla	parallela				ICZN			
106450	106440				ACCEPTED	INFRASPECIFIC_NAME	Vermipsylla parallela parallela Liu Chiying, Wu Houyong & Wu Foolin, 1965	Vermipsylla	parallela	parallela			ICZN			
106460	106440				ACCEPTED	INFRASPECIFIC_NAME	Vermipsylla parallela rhinopithica Li Kueichen, 1985	Vermipsylla	parallela	rhinopithica			ICZN			
106390	xAS				ACCEPTED	SPECIES	Vermipsylla asymmetrica Liu Chiying, Wu Houyong & Wu Foolin, 1965	Vermipsylla	asymmetrica				ICZN			
106410	106390				ACCEPTED	INFRASPECIFIC_NAME	Vermipsylla asymmetrica lunata Liu Chiying, Tsai Liyuen & Wu Wenching, 1974	Vermipsylla	asymmetrica	lunata			ICZN			
106400	106390				ACCEPTED	INFRASPECIFIC_NAME	Vermipsylla asymmetrica asymmetrica Liu Chiying, Wu Houyong & Wu Foolin, 1965	Vermipsylla	asymmetrica	asymmetrica			ICZN			
106350	xAS				ACCEPTED	SPECIES	Vermipsylla alakurt Schimkewitsch, 1885	Vermipsylla	alakurt				ICZN			
106380		106350			SYNONYM	SUBSPECIES	Vermipsylla alakurt gigantea Li, 1964	Vermipsylla	alakurt	gigantea			ICZN			
106370		106350			SYNONYM	SUBSPECIES	Vermipsylla alakurt geniculata Li, 1964	Vermipsylla	alakurt	geniculata			ICZN			
106360		106350			SYNONYM	SPECIES	Vermipsylla geniculata Li, 1964	Vermipsylla	geniculata				ICZN			
x82	x68				ACCEPTED	GENUS	Dorcadia									
106310	x82				ACCEPTED	SPECIES	Dorcadia ioffi Smit, 1953	Dorcadia	ioffi				ICZN			
106300	x82				ACCEPTED	SPECIES	Dorcadia dorcadia (Rothschild, 1912)	Dorcadia	dorcadia				ICZN			
106330	x82				ACCEPTED	SPECIES	Dorcadia xijiensis Zhang Jiliang & Dang Liangji, 1985	Dorcadia	xijiensis				ICZN			
106320	x82				ACCEPTED	SPECIES	Dorcadia qinghaiensis Zhahn Xinru, Wu Wenzhen & Cai Liyun, 1991	Dorcadia	qinghaiensis				ICZN			
138470	x82				ACCEPTED	SPECIES	Dorcadia tiani Liu, Wu & Wu, 2003	Dorcadia	tiani				ICZN			
x6A	x68				ACCEPTED	GENUS	Chaetopsylla									
106260	x6A				ACCEPTED	SPECIES	Chaetopsylla wenxianensis Wang Hsine, Liu Chien & Liu Chiying, 1979	Chaetopsylla	wenxianensis				ICZN			
106230	x6A				ACCEPTED	SPECIES	Chaetopsylla trichosa Kohaut, 1903	Chaetopsylla	trichosa				ICZN			
106280	x6A				ACCEPTED	SPECIES	Chaetopsylla zibellina Ioff, 1946	Chaetopsylla	zibellina				ICZN			
106270	x6A				ACCEPTED	SPECIES	Chaetopsylla zhengi Xie Baoqi, He Jinhow & Chao Zhongjie, 1993	Chaetopsylla	zhengi				ICZN			
106080	x6A				ACCEPTED	SPECIES	Chaetopsylla homoea Rothschild, 1906	Chaetopsylla	homoea				ICZN			
106090		106080			SYNONYM	SUBSPECIES	Chaetopsylla homoea carenis (Jordan, 1932)	Chaetopsylla	homoea	carenis			ICZN			
106100	x6A				ACCEPTED	SPECIES	Chaetopsylla jamesoni Sakaguti, 1958	Chaetopsylla	jamesoni				ICZN			
106110	x6A				ACCEPTED	SPECIES	Chaetopsylla korobkovi Tiflov & Kolpakova, 1937	Chaetopsylla	korobkovi				ICZN			
106120	x6A				ACCEPTED	SPECIES	Chaetopsylla lasia Rothschild, 1906	Chaetopsylla	lasia				ICZN			
106030	x6A				ACCEPTED	SPECIES	Chaetopsylla globiceps (Taschenberg, 1880)	Chaetopsylla	globiceps				ICZN			
106040		106030			SYNONYM	SPECIES	Achaetopsylla kohauti Oudemans, 1910	Achaetopsylla	kohauti				ICZN			
106050	x6A				ACCEPTED	SPECIES	Chaetopsylla gracilis Lewis, 1971	Chaetopsylla	gracilis				ICZN			
106060	x6A				ACCEPTED	SPECIES	Chaetopsylla hangchowensis Liu Chiying, 1939	Chaetopsylla	hangchowensis				ICZN			
106070	x6A				ACCEPTED	SPECIES	Chaetopsylla hohuana Lein Jih-ching & Weng Ming-hui, 1996	Chaetopsylla	hohuana				ICZN			
106180	x6A				ACCEPTED	SPECIES	Chaetopsylla mirabilis Ioff & Argyropulo, 1934	Chaetopsylla	mirabilis				ICZN			
106190	x6A				ACCEPTED	SPECIES	Chaetopsylla rothschildi Kohaut, 1903	Chaetopsylla	rothschildi				ICZN			
106200		106190			SYNONYM	SPECIES	Achaetopsylla kakhetiana Savenko, 1949	Achaetopsylla	kakhetiana				ICZN			
106210	x6A				ACCEPTED	SPECIES	Chaetopsylla setosa Rothschild, 1906	Chaetopsylla	setosa				ICZN			
106220	x6A				ACCEPTED	SPECIES	Chaetopsylla stewarti Johnson, 1955	Chaetopsylla	stewarti				ICZN			
106130	x6A				ACCEPTED	SPECIES	Chaetopsylla lotoris (Stewart, 1926)	Chaetopsylla	lotoris				ICZN			
106140	x6A				ACCEPTED	SPECIES	Chaetopsylla matina (Jordan, 1925)	Chaetopsylla	matina				ICZN			
106150	x6A				ACCEPTED	SPECIES	Chaetopsylla media Wu Houyong, Wu Wenzhen & Tsai Liyuen, 1979	Chaetopsylla	media				ICZN			
106160	x6A				ACCEPTED	SPECIES	Chaetopsylla mikado Rothschild, 1904	Chaetopsylla	mikado				ICZN			
106170		106160			SYNONYM	SPECIES	Achaetopsylla nocens Ioff, 1946	Achaetopsylla	nocens				ICZN			
106020	x6A				ACCEPTED	SPECIES	Chaetopsylla floridensis (I.Fox, 1939)	Chaetopsylla	floridensis				ICZN			
106010	x6A				ACCEPTED	SPECIES	Chaetopsylla dogieli Ioff, 1950	Chaetopsylla	dogieli				ICZN			
106000	x6A				ACCEPTED	SPECIES	Chaetopsylla caucasica Smit, 1953	Chaetopsylla	caucasica				ICZN			
105990	x6A				ACCEPTED	SPECIES	Chaetopsylla appropinquans (Wagner, 1930)	Chaetopsylla	appropinquans				ICZN			
105980	x6A				ACCEPTED	SPECIES	Chaetopsylla alia Ioff, 1946	Chaetopsylla	alia				ICZN			
105970	x6A				ACCEPTED	SPECIES	Chaetopsylla ailuropodae Jeu Minghua, Wang Dunqing & Li Kueichen, 1991	Chaetopsylla	ailuropodae				ICZN			
105930	x6A				ACCEPTED	SPECIES	Chaetopsylla tuberculaticeps (Bezzi, 1890)	Chaetopsylla	tuberculaticeps				ICZN			
105940		105930			SYNONYM	SPECIES	Achaetopsylla strandi (Wahlgren, 1903)	Achaetopsylla	strandi				ICZN			
105910	x6A				ACCEPTED	SPECIES	Chaetopsylla hyaenae (Kolenati, 1846)	Chaetopsylla	hyaenae				ICZN			
105920		105910			SYNONYM	SPECIES	Achaetopsylla striatus (Kolenati, 1863)	Achaetopsylla	striatus				ICZN			
138880	x6A				ACCEPTED	SPECIES	Chaetopsylla wangi Liu, 1997	Chaetopsylla	wangi				ICZN			
x5A	xA				ACCEPTED	SUPERFAMILY	Macropsylloidea									
x5C	x5A				ACCEPTED	FAMILY	Macropsyllidae									
xG2	x5C				ACCEPTED	GENUS	Stephanopsylla									
121620	xG2				ACCEPTED	SPECIES	Stephanopsylla thomasi (Rothschild, 1903)	Stephanopsylla	thomasi				ICZN			
x5E	x5C				ACCEPTED	GENUS	Macropsylla									
121600	x5E				ACCEPTED	SPECIES	Macropsylla hercules Rothschild, 1905	Macropsylla	hercules				ICZN			
139200	x5E				ACCEPTED	SPECIES	Macropsylla novaehollandiae Hastriter, 2002	Macropsylla	novaehollandiae				ICZN			
x4S	xA				ACCEPTED	SUPERFAMILY	Malacopsylloidea									
xA6	x4S				ACCEPTED	FAMILY	Malacopsyllidae									
xA8	xA6				ACCEPTED	GENUS	Malacopsylla									
103680	xA8				ACCEPTED	SPECIES	Malacopsylla grossiventris (Weyenbergh, 1879)	Malacopsylla	grossiventris				ICZN			
103720		103680			SYNONYM	SUBSPECIES	Malacopsylla grossiventris goniata Wagner, 1939	Malacopsylla	grossiventris	goniata			ICZN			
103700		103680			SYNONYM	SPECIES	Malacopsylla inermis (Wahlgren, 1903)	Malacopsylla	inermis				ICZN			
103690		103680			SYNONYM	SPECIES	Malacopsylla androcli Rothschild, 1904	Malacopsylla	androcli				ICZN			
103710		103680			SYNONYM	SPECIES	Malacopsylla tolypeutis Enderlein, 1905	Malacopsylla	tolypeutis				ICZN			
xAA	xA6				ACCEPTED	GENUS	Phthiropsylla									
103740	xAA				ACCEPTED	SPECIES	Phthiropsylla agenoris (Rothschild, 1904)	Phthiropsylla	agenoris				ICZN			
x4U	x4S				ACCEPTED	FAMILY	Rhopalopsyllidae									
xAN	x4U				ACCEPTED	GENUS	Rhopalopsyllus									
105540	xAN				ACCEPTED	SPECIES	Rhopalopsyllus australis (Rothschild, 1904)	Rhopalopsyllus	australis				ICZN			
105560	105540				ACCEPTED	INFRASPECIFIC_NAME	Rhopalopsyllus australis mesus Wagner, 1933	Rhopalopsyllus	australis	mesus			ICZN			
105590	105540				ACCEPTED	INFRASPECIFIC_NAME	Rhopalopsyllus australis tupinus (Jordan & Rothschild, 1923)	Rhopalopsyllus	australis	tupinus			ICZN			
105580	105540				ACCEPTED	INFRASPECIFIC_NAME	Rhopalopsyllus australis tupiniquinus (Guimaraes, 1940)	Rhopalopsyllus	australis	tupiniquinus			ICZN			
105570	105540				ACCEPTED	INFRASPECIFIC_NAME	Rhopalopsyllus australis tamoyus Jordan & Rothschild, 1923	Rhopalopsyllus	australis	tamoyus			ICZN			
105550	105540				ACCEPTED	INFRASPECIFIC_NAME	Rhopalopsyllus australis australis (Rothschild, 1904)	Rhopalopsyllus	australis	australis			ICZN			
105620	xAN				ACCEPTED	SPECIES	Rhopalopsyllus garbei Guimaraes, 1941	Rhopalopsyllus	garbei				ICZN			
105690	xAN				ACCEPTED	SPECIES	Rhopalopsyllus saevus (Jordan & Rothschild, 1923)	Rhopalopsyllus	saevus				ICZN			
105700		105690			SYNONYM	SPECIES	Rothschildella coxi Eads, 1946	Rothschildella	coxi				ICZN			
105630	xAN				ACCEPTED	SPECIES	Rhopalopsyllus lugubris Jordan & Rothschild, 1908	Rhopalopsyllus	lugubris				ICZN			
