"TPTdataset","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily","canonicalName","dupe_dataset"
"BYUSYN",200,NA,NA,NA,NA,NA,NA,NA,"Opisodasys jellisoni I Fox, 1941","Tarsopsylla octodecimdentata (Kolenati 1863)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Opisodasys",NA,"jellisoni",NA,NA,NA,"I Fox, 1941",NA,NA,NA,NA,NA,NA,NA,NA,"Opisodasys jellisoni","BYUSYN"
"BYUSYN",201,NA,NA,NA,NA,NA,NA,NA,"Opisodasys jellisoni I Fox, 1941","Opisodasys vesperalis (Jordan 1929)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Opisodasys",NA,"jellisoni",NA,NA,NA,"I Fox, 1941",NA,NA,NA,NA,NA,NA,NA,NA,"Opisodasys jellisoni","BYUSYN"
"BYUSYN",292,NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla congrua Jordan & Rothschild, 1922","Pygiopsylla hoplia Jordan & Rothschild, 1922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla",NA,"congrua",NA,NA,NA,"Jordan & Rothschild, 1922",NA,NA,NA,NA,"Pygiopsylla congrua jordan & rothschild, 1922 (female)",NA,NA,NA,"Pygiopsylla congrua","BYUSYN"
"BYUSYN",293,NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla congrua Jordan & Rothschild, 1922","Pygiopsylla zethi (Rothschild 1904)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla",NA,"congrua",NA,NA,NA,"Jordan & Rothschild, 1922",NA,NA,NA,NA,"Pygiopsylla congrua jordan & rothschild, 1922 (male)",NA,NA,NA,"Pygiopsylla congrua","BYUSYN"
"BYUSYN",383,NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla bouchei Oudemans, 1906","Ischnopsyllus hexactenus (Kolenati 1856)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla",NA,"bouchei",NA,NA,NA,"Oudemans, 1906",NA,NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla bouchei","BYUSYN"
"BYUSYN",384,NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla bouchei Oudemans, 1906","Neopsylla honora Jordan, 1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla",NA,"bouchei",NA,NA,NA,"Oudemans, 1906",NA,NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla bouchei","BYUSYN"
"BYUSYN",386,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus schmitzi Oudemans, 1909","Ischnopsyllus intermedius (Rothschild 1898)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus",NA,"schmitzi",NA,NA,NA,"Oudemans, 1909",NA,NA,NA,NA,"Female ischnopsyllus intermedius",NA,NA,NA,"Ischnopsyllus schmitzi","BYUSYN"
"BYUSYN",387,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus schmitzi Oudemans, 1909","Citellophilus simplex simplex (Wagner 1902)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus",NA,"schmitzi",NA,NA,NA,"Oudemans, 1909",NA,NA,NA,NA,"Male of ischnopsyllus simplex simplex",NA,NA,NA,"Ischnopsyllus schmitzi","BYUSYN"
"BYUSYN",404,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus orphilus tatricus Rosicky, 1951","Ctenophthalmus agyrtes peusianus Rosicky, 1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus",NA,"orphilus",NA,NA,NA,"Rosicky, 1951",NA,NA,NA,NA,"Partim",NA,NA,NA,"Ctenophthalmus orphilus","BYUSYN"
"BYUSYN",405,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus orphilus tatricus Rosicky, 1951","Ctenophthalmus agyrtes agyrtes (Heller 1896)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus",NA,"orphilus",NA,NA,NA,"Rosicky, 1951",NA,NA,NA,NA,"Partim",NA,NA,NA,"Ctenophthalmus orphilus","BYUSYN"
"BYUSYN",406,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus agyrtes slovacicus Rosicky, 1951","Ctenophthalmus agyrtes peusianus Rosicky, 1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus",NA,"agyrtes",NA,NA,NA,"Rosicky, 1951",NA,NA,NA,NA,"Partim",NA,NA,NA,"Ctenophthalmus agyrtes","BYUSYN"
"BYUSYN",407,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus agyrtes slovacicus Rosicky, 1951","Ctenophthalmus agyrtes agyrtes (Heller 1896)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus",NA,"agyrtes",NA,NA,NA,"Rosicky, 1951",NA,NA,NA,NA,"Partim",NA,NA,NA,"Ctenophthalmus agyrtes","BYUSYN"
"BYUSYN",519,NA,NA,NA,NA,NA,NA,NA,"Diamanus hopkinsi Vargas, 1955","Oropsylla montana (Baker 1895)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diamanus",NA,"hopkinsi",NA,NA,NA,"Vargas, 1955",NA,NA,NA,NA,NA,NA,NA,NA,"Diamanus hopkinsi","BYUSYN"
"BYUSYN",520,NA,NA,NA,NA,NA,NA,NA,"Diamanus hopkinsi Vargas, 1955","Nosopsyllus mokrzeckyi (Wagner 1916)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diamanus",NA,"hopkinsi",NA,NA,NA,"Vargas, 1955",NA,NA,NA,NA,NA,NA,NA,NA,"Diamanus hopkinsi","BYUSYN"
"BYUSYN",528,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus hexactena petropolitana Wagner, 1898","Neopsylla honora Jordan, 1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"hexactena","petropolitana",NA,NA,"Wagner, 1898",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus hexactena petropolitana","BYUSYN"
"BYUSYN",529,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus hexactena petropolitana Wagner, 1898","Ischnopsyllus hexactenus (Kolenati 1856)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"hexactena","petropolitana",NA,NA,"Wagner, 1898",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus hexactena petropolitana","BYUSYN"
"BYUSYN",544,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus kolenatii Wagner, 1930","Neopsylla honora Jordan, 1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus",NA,"kolenatii",NA,NA,NA,"Wagner, 1930",NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus kolenatii","BYUSYN"
"BYUSYN",545,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus kolenatii Wagner, 1930","Ischnopsyllus hexactenus (Kolenati 1856)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus",NA,"kolenatii",NA,NA,NA,"Wagner, 1930",NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus kolenatii","BYUSYN"
"BYUSYN",572,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus monedulae Wahlgren, 1907","Ceratophyllus vagabundus vagabundus (Boheman 1866)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"monedulae",NA,NA,NA,"Wahlgren, 1907",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus monedulae","BYUSYN"
