"TPTdataset","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily","canonicalName","dupe_dataset"
"BYUSYN",384,NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla bouchei Oudemans, 1906","Neopsylla honora Jordan, 1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla",NA,"bouchei",NA,NA,NA,"Oudemans, 1906",NA,NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla bouchei","BYU"
"BYUSYN",200,NA,NA,NA,NA,NA,NA,NA,"Opisodasys jellisoni I Fox, 1941","Tarsopsylla octodecimdentata (Kolenati 1863)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Opisodasys",NA,"jellisoni",NA,NA,NA,"I Fox, 1941",NA,NA,NA,NA,NA,NA,NA,NA,"Opisodasys jellisoni","BYU"
"BYUSYN",201,NA,NA,NA,NA,NA,NA,NA,"Opisodasys jellisoni I Fox, 1941","Opisodasys vesperalis (Jordan 1929)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Opisodasys",NA,"jellisoni",NA,NA,NA,"I Fox, 1941",NA,NA,NA,NA,NA,NA,NA,NA,"Opisodasys jellisoni","BYU"
"BYUSYN",2,NA,NA,NA,NA,NA,NA,NA,"Oropsylla montana mandarina (Jordan & Rothschild, 1911)","Oropsylla montana (Baker, 1895)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oropsylla",NA,"montana","mandarina",NA,NA,"(Jordan & Rothschild, 1911)",NA,NA,NA,NA,NA,NA,NA,NA,"Oropsylla montana mandarina","BYU"
"BYUSYN",3,NA,NA,NA,NA,NA,NA,NA,"Oropsylla montana mandarina (Jordan & Rothschild, 1911)","Nosopsyllus mokrzeckyi (Wagner, 1916)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oropsylla",NA,"montana","mandarina",NA,NA,"(Jordan & Rothschild, 1911)",NA,NA,NA,NA,NA,NA,NA,NA,"Oropsylla montana mandarina","BYU"
"BYUSYN",52,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla makaluensis Brelih, 1975","Palaeopsylla aporema Smit & Rosicky, 1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla",NA,"makaluensis",NA,NA,NA,"Brelih, 1975",NA,NA,NA,NA,"Female",NA,NA,NA,"Palaeopsylla makaluensis","BYU"
"BYUSYN",53,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla makaluensis Brelih, 1975","Palaeopsylla tauberi makaluensis Brelih, 1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla",NA,"makaluensis",NA,NA,NA,"Brelih, 1975",NA,NA,NA,NA,"Male",NA,NA,NA,"Palaeopsylla makaluensis","BYU"
"BYUSYN",74,NA,NA,NA,NA,NA,NA,NA,"Pulex canis Curtis, 1826","Ctenocephalides canis (Curtis 1926)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex",NA,"canis",NA,NA,NA,"Curtis, 1826",NA,NA,NA,"Homonym","Junior homonym",NA,NA,NA,"Pulex canis","BYU"
"BYUSYN",120,NA,NA,NA,NA,NA,NA,NA,"Pulex canis Dugs, 1832","Ctenocephalides canis (Curtis 1926)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex",NA,"canis",NA,NA,NA,"Dugs, 1832",NA,NA,NA,"Homonym","Junior homonym",NA,NA,NA,"Pulex canis","BYU"
"BYUSYN",51,NA,NA,NA,NA,NA,NA,NA,"Pulex vespertilionis Bouch, 1835","Ischnopsyllus hexactenus (Kolenati 1856)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex",NA,"vespertilionis",NA,NA,NA,"Bouch, 1835",NA,NA,NA,NA,NA,NA,NA,NA,"Pulex vespertilionis","BYU"
"BYUSYN",123,NA,NA,NA,NA,NA,NA,NA,"Pulex vespertilionis Dugs, 1832","Ischnopsyllus hexactenus (Kolenati 1856)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex",NA,"vespertilionis",NA,NA,NA,"Dugs, 1832",NA,NA,NA,NA,NA,NA,NA,NA,"Pulex vespertilionis","BYU"
"BYUSYN",292,NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla congrua Jordan & Rothschild, 1922","Pygiopsylla hoplia Jordan & Rothschild, 1922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla",NA,"congrua",NA,NA,NA,"Jordan & Rothschild, 1922",NA,NA,NA,NA,"Pygiopsylla congrua jordan & rothschild, 1922 (female)",NA,NA,NA,"Pygiopsylla congrua","BYU"
"BYUSYN",293,NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla congrua Jordan & Rothschild, 1922","Pygiopsylla zethi (Rothschild 1904)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla",NA,"congrua",NA,NA,NA,"Jordan & Rothschild, 1922",NA,NA,NA,NA,"Pygiopsylla congrua jordan & rothschild, 1922 (male)",NA,NA,NA,"Pygiopsylla congrua","BYU"
"BYU",2471,NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla semenovi Argyropulo, 1946",NA,NA,NA,NA,NA,1946,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Rhadinopsylla",NA,"semenovi",NA,NA,NA,"Argyropulo, 1946",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Rhadinopsyllinae","Rhadinopsylla semenovi","BYU"
"BYUSYN",11,NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla semenovi Argyropulo, 1941","Rhadinopsylla semenovi Argyropulo, 1946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla",NA,"semenovi",NA,NA,NA,"Argyropulo, 1941",NA,NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla semenovi","BYU"
"BYUSYN",313,NA,NA,NA,NA,NA,NA,NA,"Spalacopsylla Kolenati, 1856","Ctenophthalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spalacopsylla",NA,NA,NA,NA,NA,"Kolenati, 1856",NA,NA,NA,"Synonym","Junior synonym",NA,NA,NA,"Spalacopsylla","BYU"
"BYUSYN",382,NA,NA,NA,NA,NA,NA,NA,"Spalacopsylla Oudemans, 1906","Ischnopsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spalacopsylla",NA,NA,NA,NA,NA,"Oudemans, 1906",NA,NA,NA,"Synonym","Junior synonym",NA,NA,NA,"Spalacopsylla","BYU"
"BYUSYN",401,NA,NA,NA,NA,NA,NA,NA,"Spalacopsylla Pinto, 1930","Adoratopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spalacopsylla",NA,NA,NA,NA,NA,"Pinto, 1930",NA,NA,NA,"Synonym","Junior synonym",NA,NA,NA,"Spalacopsylla","BYU"
"BYUSYN",141,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla Ewing & Fox, 1943","Amalaraeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla",NA,NA,NA,NA,NA,"Ewing & Fox",NA,NA,NA,"Homonym","Junior homonym of trichopsylla kolenati, 1863",NA,NA,NA,"Trichopsylla","BYU"
"BYUSYN",288,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla Jordan & Rothschild, 1920","Amalaraeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla",NA,NA,NA,NA,NA,"Jordan & Rothschild, 1920",NA,NA,NA,"Homonym","Junior homonym of trichopsylla kolenati, 1863",NA,NA,NA,"Trichopsylla","BYU"
"BYUSYN",324,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla Kolenati, 1863","Amalaraeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla",NA,NA,NA,NA,NA,"Kolenati, 1863",NA,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla","BYU"
