"TPTdataset","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily","canonicalName","dupe_dataset"
"BYU","315",NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus agyrtes jordanianus Peus, 1950",NA,NA,NA,NA,NA,1950,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Ctenophthalmus",NA,"agyrtes","jordanianus",NA,NA,"Peus, 1950",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae","Ctenophthalmus agyrtes jordanianus","BYU"
"BYU","764",NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus agyrtes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Ctenophthalmus",NA,"agyrtes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae","Ctenophthalmus agyrtes","BYU"
"BYU","2151",NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus orphilus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Ctenophthalmus",NA,"orphilus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae","Ctenophthalmus orphilus","BYU"
"BYU","2375",NA,NA,NA,NA,NA,NA,NA,"Megabothris rhipisoides Li & Wang, 1964",NA,NA,NA,NA,NA,1964,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Megabothris",NA,"rhipisoides",NA,NA,NA,"Li & Wang, 1964",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","Megabothris rhipisoides","BYU"
"BYU","1906",NA,NA,NA,NA,NA,NA,NA,"Neopsylla marleaneae Lewis, 1971",NA,NA,NA,NA,NA,1971,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Neopsylla",NA,"marleaneae",NA,NA,NA,"Lewis, 1971",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Neopsyllinae","Neopsylla marleaneae","BYU"
"BYU","248",NA,NA,NA,NA,NA,NA,NA,"Nosopsyllus laeviceps gobiensis Cyprich, Kiefer & Cendsuren, 1977",NA,NA,NA,NA,NA,1977,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Nosopsyllus",NA,"laeviceps","gobiensis",NA,NA,"Cyprich, Kiefer & Cendsuren, 1977",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","Nosopsyllus laeviceps gobiensis","BYU"
"BYU","1290",NA,NA,NA,NA,NA,NA,NA,"Peromyscopsylla duma Traub, 1944",NA,NA,NA,NA,NA,1944,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Peromyscopsylla",NA,"duma",NA,NA,NA,"Traub, 1944",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Leptopsyllinae","Peromyscopsylla duma","BYU"
"BYU","2471",NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla semenovi Argyropulo, 1946",NA,NA,NA,NA,NA,1946,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Rhadinopsylla",NA,"semenovi",NA,NA,NA,"Argyropulo, 1946",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Rhadinopsyllinae","Rhadinopsylla semenovi","BYU"
"BYUSYN","109",NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla caffrarica DeMeillon, 1940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla",NA,"caffrarica",NA,NA,NA,"1940",NA,NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla caffrarica","BYU"
"BYUSYN","52",NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla makaluensis Brelih, 1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla",NA,"makaluensis",NA,NA,NA,"Brelih, 1975",NA,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla makaluensis","BYU"
"BYUSYN","53",NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla makaluensis Brelih, 1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla",NA,"makaluensis",NA,NA,NA,"Brelih, 1975",NA,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla makaluensis","BYU"
